Account,Coin_Cluster,Execution_Date,Execution_Price_Start,Execution_Price_End,Average_Execution_Price,open_long_size_tokens,open_short_size_tokens,close_long_size_tokens,close_short_size_tokens,buy_size_tokens,sell_size_tokens,open_long_size_usd,open_short_size_usd,close_long_size_usd,close_short_size_usd,buy_size_usd,sell_size_usd,value,classification,close_pnl,open_long_min_datetime,close_long_max_datetime,open_short_min_datetime,close_short_max_datetime,sell_min_datetime,buy_min_datetime,Price_Diff
0x083384f897ee0f19899168e3b1bec365f52a9012,low_price_high_volatility,2024-11-17,2024-11-17 09:58:00,2024-11-17 10:00:00,233.9453448275862,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,233813.19,0.0,0.0,0.0,0.0,90.0,Extreme Greed,0.0,,,2024-11-17 09:58:00,,,,0.03333333333333333
0x083384f897ee0f19899168e3b1bec365f52a9012,low_price_high_volatility,2024-11-26,2024-11-26 13:47:00,2024-11-26 14:35:00,232.92111111111112,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,233489.98999999996,0.0,232210.01,0.0,0.0,79.0,Extreme Greed,1603.1,,,2024-11-26 14:34:00,2024-11-26 13:47:00,,,0.8
0x083384f897ee0f19899168e3b1bec365f52a9012,low_price_high_volatility,2024-11-28,2024-11-28 00:10:00,2024-11-28 00:10:00,239.62,0.0,0.0,0.0,1000.0000000000001,0.0,0.0,0.0,0.0,0.0,239619.99,0.0,0.0,77.0,Extreme Greed,-6130.0,,,,2024-11-28 00:10:00,,,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,low_price_high_volatility,2025-01-19,2025-01-19 13:57:00,2025-01-19 14:48:00,272.33027989821886,0.0,9934.880000000001,0.0,2533.9999999999995,0.0,0.0,0.0,2716012.75,0.0,686980.98,0.0,0.0,77.0,Extreme Greed,-428.2042,,,2025-01-19 13:57:00,2025-01-19 14:10:00,,,0.85
0x083384f897ee0f19899168e3b1bec365f52a9012,low_price_high_volatility,2025-01-20,2025-01-20 08:24:00,2025-01-20 10:34:00,239.15470588235294,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,245429.98999999996,0.0,234000.0,0.0,0.0,76.0,Extreme Greed,40218.599998,,,2025-01-20 10:34:00,2025-01-20 08:24:00,,,2.1666666666666665
0x083384f897ee0f19899168e3b1bec365f52a9012,low_price_high_volatility,2025-02-03,2025-02-03 07:14:00,2025-02-03 16:20:00,196.376,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,200219.99,0.0,191666.0,0.0,0.0,44.0,Fear,78662.69160600001,,,2025-02-03 16:15:00,2025-02-03 07:14:00,,,9.1
0x083384f897ee0f19899168e3b1bec365f52a9012,low_price_high_volatility,2025-02-04,2025-02-04 10:36:00,2025-02-04 18:02:00,207.49097472924188,0.0,7399.999999999999,0.0,7400.0,0.0,0.0,0.0,1539844.0100000002,0.0,1532673.6400000001,0.0,0.0,72.0,Greed,397658.512093,,,2025-02-04 11:17:00,2025-02-04 11:15:00,,,7.433333333333334
0x083384f897ee0f19899168e3b1bec365f52a9012,low_price_high_volatility,2025-03-03,2025-03-03 07:22:00,2025-03-03 07:28:00,172.59,0.0,0.0,0.0,7400.879999999999,0.0,0.0,0.0,0.0,0.0,1277317.88,0.0,0.0,33.0,Fear,262755.662901,,,,2025-03-03 07:28:00,,,0.1
0x083384f897ee0f19899168e3b1bec365f52a9012,medium_price_high_volatility,2024-11-11,2024-11-11 08:28:00,2024-11-11 15:49:00,3204.4610169491525,0.0,281.0,0.0,0.0,0.0,0.0,0.0,900880.1300000001,0.0,0.0,0.0,0.0,76.0,Extreme Greed,0.0,,,2024-11-11 08:28:00,,,,7.35
0x083384f897ee0f19899168e3b1bec365f52a9012,medium_price_high_volatility,2024-11-17,2024-11-17 09:47:00,2024-11-17 09:47:00,3086.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,308599.99,0.0,0.0,0.0,0.0,90.0,Extreme Greed,0.0,,,2024-11-17 09:47:00,,,,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,medium_price_high_volatility,2024-11-18,2024-11-18 23:16:00,2024-11-18 23:20:00,3164.6,0.0,300.0,0.0,0.0,0.0,0.0,0.0,949380.0,0.0,0.0,0.0,0.0,83.0,Extreme Greed,0.0,,,2024-11-18 23:16:00,,,,0.06666666666666667
0x083384f897ee0f19899168e3b1bec365f52a9012,medium_price_high_volatility,2024-11-22,2024-11-22 13:12:00,2024-11-22 13:12:00,3382.4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,338239.99999999994,0.0,0.0,94.0,Extreme Greed,-21227.0,,,,2024-11-22 13:12:00,,,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,medium_price_high_volatility,2024-11-28,2024-11-28 00:10:00,2024-11-28 00:10:00,3590.6,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,1077179.99,0.0,0.0,77.0,Extreme Greed,-126141.0,,,,2024-11-28 00:10:00,,,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,medium_price_high_volatility,2024-11-30,2024-11-30 11:43:00,2024-11-30 11:43:00,3723.0173913043477,0.0,299.9999999999999,0.0,0.0,0.0,0.0,0.0,1116918.77,0.0,0.0,0.0,0.0,84.0,Extreme Greed,0.0,,,2024-11-30 11:43:00,,,,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,medium_price_high_volatility,2024-12-06,2024-12-06 23:15:00,2024-12-06 23:15:00,4041.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,1212299.96,0.0,0.0,72.0,Greed,-175611.00005600002,,,,2024-12-06 23:15:00,,,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,medium_price_high_volatility,2025-01-19,2025-01-19 15:52:00,2025-01-19 19:43:00,3299.5611111111116,0.0,300.0,0.0,281.0,0.0,0.0,0.0,1003890.01,0.0,899209.8800000001,0.0,0.0,77.0,Extreme Greed,71822.168298,,,2025-01-19 19:43:00,2025-01-19 15:52:00,,,3.85
0x083384f897ee0f19899168e3b1bec365f52a9012,medium_price_high_volatility,2025-02-02,2025-02-02 13:01:00,2025-02-02 13:56:00,3091.9700000000003,0.0,300.0,0.0,300.0,0.0,0.0,0.0,931290.0,0.0,927180.0,0.0,0.0,60.0,Greed,76710.0,,,2025-02-02 13:56:00,2025-02-02 13:02:00,,,0.9166666666666666
